Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2024-10-31,5.14287,5.23917,5.10544,5.15879
2024-11-30,5.15872,5.27243,5.14675,5.17303
2024-12-31,5.18123,5.20005,5.11215,5.16745
2025-01-31,5.17061,5.17327,4.97885,5.04299
2025-02-28,5.0618,5.10885,4.97587,5.08736
2025-03-31,5.05904,5.07777,4.9408,4.99698
2025-04-30,4.99529,5.04393,4.89496,5.03232
2025-05-31,5.03013,5.10287,4.9949,5.04136
2025-06-30,5.06088,5.09901,4.94235,4.94611
2025-07-31,4.94597,4.96488,4.85232,4.9458
2025-08-31,4.94546,4.96275,4.87217,4.92506
2025-09-30,4.9266,4.9391,4.86619,4.88741
2025-10-31,4.88749,4.91663,4.80759,4.85104
2025-11-30,4.84901,4.85605,4.79801,4.80394
