"w1","w2","w3","w4","iportfolio","sdp","sharp","treynor","des"
0.04,0.86,0.06,0.04,0.000671447158527132,0.0221669143657583,-0.0686108643170165,-0.00552252539290573,"Minimal risk portfolio"
0.2,0,0.06,0.74,0.0126877283511628,0.043125185666562,0.243370315432578,0.0123234597433609,"Maximum efficiency portfolio"
1,0,0,0,0.021923383124031,0.119091386990223,0.165679864096702,0.0378936748517821,"Maximum rate of return portfolio"
1,0,0,0,0.021923383124031,0.119091386990223,0.165679864096702,0.0378936748517821,"Max weight one portfolio"
0,1,0,0,-0.00108120786434109,0.0234533845342821,-0.139576706805758,-0.0135969834476164,"Max weight two portfolio"
0,0,1,0,0.00485469934883721,0.0904341026681868,0.0294397904980892,0.0212411464105725,"Max weight three portfolio"
0,0,0,1,0.0108267158992248,0.0423782055326136,0.203745710284425,0.0086343775868217,"Max weight four portfolio"
0.25,0.25,0.25,0.25,0.00913089762693798,0.0406143434974866,0.170840119943445,0.0147097643486559,"Simple divesrification portfolio"
1,0,0,0,0.021923383124031,0.119091386990223,0.165679864096702,0.0378936748517821,"TreynorRatio"
