"w1","w2","w3","w4","iportfolio","sdp","sharp","des"
0.04,0.86,0.06,0.04,0.000671447158527132,0.0221669143657583,-0.0686108643170165,"Minimal risk portfolio"
0.31,-0.49,0.18,1,0.0190266024039922,0.0610619610912649,0.275691507294176,"Maximum efficiency portfolio"
1,-1,0,1,0.0338313068875969,0.132986895920238,0.237910422348454,"Maximum rate of return portfolio"
1,0,0,0,0.021923383124031,0.119091386990223,0.165679864096702,"Max weight one portfolio"
0,1,0,0,-0.00108120786434109,0.0234533845342821,-0.139576706805758,"Max weight two portfolio"
0,0,1,0,0.00485469934883721,0.0904341026681868,0.0294397904980892,"Max weight three portfolio"
0,0,0,1,0.0108267158992248,0.0423782055326136,0.203745710284425,"Max weight four portfolio"
