CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,072011375;0,008359122;-0,080148834;0,044762401
-0,050952726;0,002153192;-0,14732289;0,010391245
-0,174322973;-0,005381364;0,030637574;-0,004851629
0,018542159;-0,017414915;0,023176818;-0,020994281
0,067402965;0,008388068;-0,094259569;0,023752624
0,252774171;-0,021514159;-0,105269659;0,033054176
0,053438903;-0,004274506;0,042327387;0,01113182
-0,101736279;0,016377266;-0,044723239;0,010700048
-0,164249463;0,019555498;0,015155106;0,022992548
-0,175951539;-0,040016595;-0,102153178;-0,072384628
0,036007899;-0,014343954;-0,110860452;0,030754173
0,054967228;-0,006227478;0,090881289;0,036018158
