CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
-0,093356115;0,012552288;-0,118512907;0,04999994
0,046169443;-0,007323999;-0,036018673;0,031756487
0,063569832;-0,001526483;0,072873765;0,03608425
0,013597004;0,008371892;-0,063230134;-0,019756516
0,094925424;-0,011099153;-0,040338325;0,001172737
0,071536548;0,01342889;0,063601199;0,075834051
0,135103874;0,001153021;-0,051723691;-0,009613015
0,140815195;-0,001235571;0,040728359;-0,01480912
-0,050118086;0,010777818;0,035226705;0,022026429
-0,080064319;0,0031141;0,112838718;0,04223457
0,039336691;0,002756534;-0,130703076;0,068993153
0,13543617;-0,001079254;-0,075378136;0,004785677
