CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,041548153;0,004905812;-0,120500247;-0,027684831
-0,003911809;-0,0432512;-0,007858983;-0,008703452
0,110988685;-0,038753674;0,131556958;-0,000868684
-0,009759882;0,041358319;0,107044092;0,021046319
0,053205487;0,022484799;-0,137441132;0,051219279
0,020609437;-0,086987013;0,092743776;0,000909968
0,239063096;-0,014266505;0,167584651;0,027597339
0,199925844;-0,004143004;-0,052618213;0,007139974
-0,064126076;-0,035892988;0,070704667;-0,018101305
0,000500936;-0,0313687;-0,151579593;0,009667637
0,179275512;0,090938922;0,215148787;0,097443058
0,089919915;-0,019795936;-0,125017684;0,007722664
