CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,085693787;0,025247428;0,061529777;0,049582978
0,108900788;-0,016789635;-0,106365445;0,009191824
0,050040123;-0,016830413;0,055175017;-0,039565633
0,158328232;0,034161887;-0,000707418;0,047083484
-0,019137705;0,032273926;-0,141533325;-0,017695554
0,108285406;-0,00330636;-0,097105366;0,01942422
-0,086647745;-0,017051704;-0,019079922;-0,058130686
0,102744306;-0,007457722;0,083444874;-0,029159767
-0,012343296;0,035996414;0,03484306;0,106780123
-0,163349409;0,020539214;-0,222441187;0,054366177
-0,019690806;-0,050178418;0,037675999;-0,049618321
0,041548153;0,004905812;-0,120500247;-0,027684831
-0,003911809;-0,0432512;-0,007858983;-0,008703452
0,110988685;-0,038753674;0,131556958;-0,000868684
-0,009759882;0,041358319;0,107044092;0,021046319
0,053205487;0,022484799;-0,137441132;0,051219279
0,020609437;-0,086987013;0,092743776;0,000909968
0,239063096;-0,014266505;0,167584651;0,027597339
0,199925844;-0,004143004;-0,052618213;0,007139974
-0,064126076;-0,035892988;0,070704667;-0,018101305
0,000500936;-0,0313687;-0,151579593;0,009667637
0,179275512;0,090938922;0,215148787;0,097443058
0,089919915;-0,019795936;-0,125017684;0,007722664
0,116493258;-0,024013382;0,104295837;-0,023636837
0,183336226;0,000913119;0,023160682;0,054732962
0,051853007;-0,014286143;0,032179417;-0,018239357
-0,090354294;0,011219927;0,03866369;-0,013919082
0,166653044;-0,048062304;-0,010483752;-0,03103313
0,086237493;0,007769239;0,029292784;0,007043831
0,005345608;-0,016393073;0,049444846;-0,012040394
-0,036511624;-0,030211802;0,056396488;-0,007523923
0,332129619;0,059701175;-0,000405009;0,043005345
0,036663765;-0,011382106;0,044299726;0,02391734
-0,172334011;-0,012011282;0,029502858;-0,003868608
-0,045396675;-0,016466255;0,051233881;-0,000916568
0,178922826;0,010801968;-0,030468906;0,015045785
-0,080786732;-0,008098477;0,012069245;0,001456423
0,022176911;0,018441252;-0,09414664;-0,053637033
0,131634181;0,006788627;0,018256297;0,043849287
0,165158712;0,015400986;0,022861701;0,077376578
0,094547604;0,007591213;-0,03877301;0,023956473
0,199407222;-0,029659977;-0,018583935;-0,001098736
0,042124926;0,001107798;0,051377823;0,054117004
-0,095168144;0,000110296;0,089757935;-0,001624194
-0,168190933;0,019635281;0,004838629;-0,033444298
-0,107300446;-0,014065565;0,088305892;0,002081814
0,023641169;-0,012697321;0,065941217;-0,102540523
0,266160059;0,022749374;0,062970074;0,073490154
0,000481509;0,028023076;0,140757971;0,046357055
0,050833066;-0,003618171;-0,113176393;0,025932023
0,07184396;-0,003840014;0,005990505;0,034919357
-0,028847744;-0,027920035;-0,0471706;-0,050827592
0,035465562;-0,021739533;0,15054163;0,031562506
0,0660465;-0,00672551;-0,013911847;0,059745949
0,095328178;0,027932437;0,006800405;0,009079393
-0,038673042;0,01779311;0,091363264;0,021635492
0,03509207;0,002765071;0,068976965;-0,028168345
0,040426715;0,024373783;0,024999446;0,064219418
0,062736105;-0,006923692;0,055000435;-0,004755854
0,00751923;0,016857643;0,162419994;0,029278311
-0,011094797;-0,01722945;0,124159096;-0,097706275
0,037378601;0,021388149;-0,094523313;-0,048865589
0,212632829;0,017378822;-0,17690745;0,113317302
0,121487088;-0,054670643;-0,019165017;-0,004797665
-0,022284107;-0,008220847;0,002020661;0,009829869
0,01781573;-0,001225107;0,074462492;-0,001141852
0,086914121;0,004174692;0,071927956;0,063638287
-0,046906152;0,01371964;0,027517508;0,013045282
-0,221122674;0,025837337;-0,041479817;-0,011643718
0,149525244;-0,023304089;0,07198628;0,052159831
-0,349170313;0,020196872;0,028608489;0,03455636
0,105270303;-0,000642593;-0,094483273;0,002469492
-0,254562553;0,022605065;0,040836341;0,019431112
-0,216714641;0,042139454;0,122842652;0,098660284
-0,089962951;-0,038679491;0,11159499;0,005448076
-0,002954212;-0,006213139;-0,036684185;-0,023090759
0,092099672;0,012590934;-0,016971745;0,060975915
-0,001514401;0,015775303;-0,044546796;0,034234376
-0,087150683;-0,015902423;-0,075851597;0,026867377
0,124655933;0,017454978;-0,255103616;-0,004589887
-0,098087039;0,018155778;0,042626938;0,055422781
0,059288279;0,000746792;-0,137712811;0,048122557
0,044524773;-0,001780041;0,092121776;0,019056756
-0,068887298;0,004980529;0,210347854;-0,060546715
-0,066950432;0,025510205;0,058796544;-0,00534507
0,031219253;-0,0192431;-0,097667136;0,054778922
-0,361935436;0,009917311;0,024311602;-0,020719808
-0,107384725;-0,034747272;-0,147010938;-0,058265556
-0,127226642;0,01454233;-0,032376655;-0,047254179
-0,041979076;0,033581469;0,096762192;0,12499948
-0,076525823;-0,033524704;-0,023044197;-0,01540576
0,17492533;0,013527704;0,042445981;-0,031853625
0,237800542;-0,011214059;-0,163234967;0,023699849
0,030076208;-0,01149646;0,020432306;-0,02919642
-0,01028144;-0,021663979;-0,052681111;-0,060731186
0,072011375;0,008359122;-0,080148834;0,044762401
-0,050952726;0,002153192;-0,14732289;0,010391245
-0,174322973;-0,005381364;0,030637574;-0,004851629
0,018542159;-0,017414915;0,023176818;-0,020994281
0,067402965;0,008388068;-0,094259569;0,023752624
0,252774171;-0,021514159;-0,105269659;0,033054176
0,053438903;-0,004274506;0,042327387;0,01113182
-0,101736279;0,016377266;-0,044723239;0,010700048
-0,164249463;0,019555498;0,015155106;0,022992548
-0,175951539;-0,040016595;-0,102153178;-0,072384628
0,036007899;-0,014343954;-0,110860452;0,030754173
0,054967228;-0,006227478;0,090881289;0,036018158
