CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,097706861;-0,024380177;0,103681582;0,001177163
0,048542455;0,008759872;-0,090627276;-0,051293294
-0,045234156;-0,017925302;0,069457503;-0,096342704
0,09496937;0,00704738;-0,04857467;-0,029288384
-0,048834336;0,001794777;0,030842252;0,061931569
0,239502595;-0,019074478;0,125286534;0,015064143
-0,111393238;-6,26775E-05;0,085473189;0,070075709
0,003179653;-0,004202274;-0,078795187;-0,015062365
0,070843011;-0,007673946;0,125113409;0,028506934
-0,063725543;-0,007469396;0,133455001;0,043107601
