CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,105270303;-0,000642593;-0,094483273;0,002469492
-0,254562553;0,022605065;0,040836341;0,019431112
-0,216714641;0,042139454;0,122842652;0,098660284
-0,089962951;-0,038679491;0,11159499;0,005448076
-0,002954212;-0,006213139;-0,036684185;-0,023090759
0,092099672;0,012590934;-0,016971745;0,060975915
-0,001514401;0,015775303;-0,044546796;0,034234376
-0,087150683;-0,015902423;-0,075851597;0,026867377
0,124655933;0,017454978;-0,255103616;-0,004589887
-0,098087039;0,018155778;0,042626938;0,055422781
0,059288279;0,000746792;-0,137712811;0,048122557
0,044524773;-0,001780041;0,092121776;0,019056756
