CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
-0,068887298;0,004980529;0,210347854;-0,060546715
-0,066950432;0,025510205;0,058796544;-0,00534507
0,031219253;-0,0192431;-0,097667136;0,054778922
-0,361935436;0,009917311;0,024311602;-0,020719808
-0,107384725;-0,034747272;-0,147010938;-0,058265556
-0,127226642;0,01454233;-0,032376655;-0,047254179
-0,041979076;0,033581469;0,096762192;0,12499948
-0,076525823;-0,033524704;-0,023044197;-0,01540576
0,17492533;0,013527704;0,042445981;-0,031853625
0,237800542;-0,011214059;-0,163234967;0,023699849
0,030076208;-0,01149646;0,020432306;-0,02919642
-0,01028144;-0,021663979;-0,052681111;-0,060731186
