CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,085693787;0,025247428;0,061529777;0,049582978
0,108900788;-0,016789635;-0,106365445;0,009191824
0,050040123;-0,016830413;0,055175017;-0,039565633
0,158328232;0,034161887;-0,000707418;0,047083484
-0,019137705;0,032273926;-0,141533325;-0,017695554
0,108285406;-0,00330636;-0,097105366;0,01942422
-0,086647745;-0,017051704;-0,019079922;-0,058130686
0,102744306;-0,007457722;0,083444874;-0,029159767
-0,012343296;0,035996414;0,03484306;0,106780123
-0,163349409;0,020539214;-0,222441187;0,054366177
-0,019690806;-0,050178418;0,037675999;-0,049618321
