CD_Projekt_Red;kurs_GBP_PLN;Pallad;ETF_SP500
0,00751923;0,016857643;0,162419994;0,029278311
-0,011094797;-0,01722945;0,124159096;-0,097706275
0,037378601;0,021388149;-0,094523313;-0,048865589
0,212632829;0,017378822;-0,17690745;0,113317302
0,121487088;-0,054670643;-0,019165017;-0,004797665
-0,022284107;-0,008220847;0,002020661;0,009829869
0,01781573;-0,001225107;0,074462492;-0,001141852
0,086914121;0,004174692;0,071927956;0,063638287
-0,046906152;0,01371964;0,027517508;0,013045282
-0,221122674;0,025837337;-0,041479817;-0,011643718
0,149525244;-0,023304089;0,07198628;0,052159831
-0,349170313;0,020196872;0,028608489;0,03455636
